Tenure,Coach,Record
1919,Fred Cozens,2–6
1920–1922,Harry Trotter,2–13–1
1923–1924,James J. Cline,2–10–3
1925–1938,William H. Spaulding,72–51–8
1939–1944,Edwin C. Horrell,24–31–6
1945–1948,Bert LaBrucherie,23–16
1949–1957,Henry Russell Sanders,66–19–1
1958–1964,William F. Barnes,31–34–3
1965–1970,Tommy Prothro,41–18–3
1971–1973,Pepper Rodgers,19–12–1
1974–1975,Dick Vermeil,15–5–3
1976–1995,Terry Donahue,151–74–8
1996–2002,Bob Toledo,49–32
2003–2007,Karl Dorrell,35–27
2008–2011,Rick Neuheisel,21–29
2012–2017,Jim L. Mora,46–30
2018–present,Chip Kelly,7–17
